거래일,물건금액(만원),지역+건물명+건물용도
2025-01-01,242221,송파구 가락동 헬리오시티 (아파트)
2025-01-31,211154,송파구 가락동 헬리오시티 (아파트)
2025-02-28,216085,송파구 가락동 헬리오시티 (아파트)
2025-03-31,203749,송파구 가락동 헬리오시티 (아파트)
2025-04-30,206359,송파구 가락동 헬리오시티 (아파트)
2025-05-31,226730,송파구 가락동 헬리오시티 (아파트)
2025-06-30,238993,송파구 가락동 헬리오시티 (아파트)
2025-07-31,237576,송파구 가락동 헬리오시티 (아파트)
2025-08-31,202417,송파구 가락동 헬리오시티 (아파트)
2025-09-30,237257,송파구 가락동 헬리오시티 (아파트)
2025-10-31,228261,송파구 가락동 헬리오시티 (아파트)
2025-11-30,243912,송파구 가락동 헬리오시티 (아파트)
2025-12-31,193988,송파구 가락동 헬리오시티 (아파트)
2025-01-01,222030,송파구 신천동 파크리오 (아파트)
2025-01-31,216158,송파구 신천동 파크리오 (아파트)
2025-02-28,196339,송파구 신천동 파크리오 (아파트)
2025-03-31,209706,송파구 신천동 파크리오 (아파트)
2025-04-30,214898,송파구 신천동 파크리오 (아파트)
2025-05-31,230816,송파구 신천동 파크리오 (아파트)
2025-06-30,275809,송파구 신천동 파크리오 (아파트)
2025-07-31,209083,송파구 신천동 파크리오 (아파트)
2025-08-31,212168,송파구 신천동 파크리오 (아파트)
2025-09-30,233963,송파구 신천동 파크리오 (아파트)
2025-10-31,248635,송파구 신천동 파크리오 (아파트)
2025-11-30,199655,송파구 신천동 파크리오 (아파트)
2025-12-31,238993,송파구 신천동 파크리오 (아파트)
2025-01-01,172456,강동구 고덕동 고덕그라시움 (아파트)
2025-01-31,161994,강동구 고덕동 고덕그라시움 (아파트)
2025-02-28,170740,강동구 고덕동 고덕그라시움 (아파트)
2025-03-31,194678,강동구 고덕동 고덕그라시움 (아파트)
2025-04-30,178784,강동구 고덕동 고덕그라시움 (아파트)
2025-05-31,184584,강동구 고덕동 고덕그라시움 (아파트)
2025-06-30,177888,강동구 고덕동 고덕그라시움 (아파트)
2025-07-31,194666,강동구 고덕동 고덕그라시움 (아파트)
2025-08-31,178745,강동구 고덕동 고덕그라시움 (아파트)
2025-09-30,180336,강동구 고덕동 고덕그라시움 (아파트)
2025-10-31,209875,강동구 고덕동 고덕그라시움 (아파트)
2025-11-30,201505,강동구 고덕동 고덕그라시움 (아파트)
2025-12-31,189636,강동구 고덕동 고덕그라시움 (아파트)
2025-01-01,215672,송파구 잠실동 리센츠 (아파트)
2025-01-31,250324,송파구 잠실동 리센츠 (아파트)
2025-02-28,115499,송파구 잠실동 리센츠 (아파트)
2025-03-31,139654,송파구 잠실동 리센츠 (아파트)
2025-04-30,155701,송파구 잠실동 리센츠 (아파트)
2025-05-31,182107,송파구 잠실동 리센츠 (아파트)
2025-06-30,225396,송파구 잠실동 리센츠 (아파트)
2025-07-31,255659,송파구 잠실동 리센츠 (아파트)
2025-08-31,238087,송파구 잠실동 리센츠 (아파트)
2025-09-30,187774,송파구 잠실동 리센츠 (아파트)
2025-10-31,214546,송파구 잠실동 리센츠 (아파트)
2025-11-30,134980,송파구 잠실동 리센츠 (아파트)
2025-12-31,178197,송파구 잠실동 리센츠 (아파트)
2025-01-01,64926,강북구 미아동 에스케이북한산시티 (아파트)
2025-01-31,67773,강북구 미아동 에스케이북한산시티 (아파트)
2025-02-28,65984,강북구 미아동 에스케이북한산시티 (아파트)
2025-03-31,70515,강북구 미아동 에스케이북한산시티 (아파트)
2025-04-30,67032,강북구 미아동 에스케이북한산시티 (아파트)
2025-05-31,71430,강북구 미아동 에스케이북한산시티 (아파트)
2025-06-30,66752,강북구 미아동 에스케이북한산시티 (아파트)
2025-07-31,62536,강북구 미아동 에스케이북한산시티 (아파트)
2025-08-31,70500,강북구 미아동 에스케이북한산시티 (아파트)
2025-09-30,68297,강북구 미아동 에스케이북한산시티 (아파트)
2025-10-31,68673,강북구 미아동 에스케이북한산시티 (아파트)
2025-11-30,68069,강북구 미아동 에스케이북한산시티 (아파트)
2025-12-31,65641,강북구 미아동 에스케이북한산시티 (아파트)
2025-01-01,41780,송파구 문정동 파크하비오 (오피스텔)
2025-01-31,41840,송파구 문정동 파크하비오 (오피스텔)
2025-02-28,44773,송파구 문정동 파크하비오 (오피스텔)
2025-03-31,33383,송파구 문정동 파크하비오 (오피스텔)
2025-04-30,46104,송파구 문정동 파크하비오 (오피스텔)
2025-05-31,47265,송파구 문정동 파크하비오 (오피스텔)
2025-06-30,42129,송파구 문정동 파크하비오 (오피스텔)
2025-07-31,39265,송파구 문정동 파크하비오 (오피스텔)
2025-08-31,43886,송파구 문정동 파크하비오 (오피스텔)
2025-09-30,38834,송파구 문정동 파크하비오 (오피스텔)
2025-10-31,33462,송파구 문정동 파크하비오 (오피스텔)
2025-11-30,36910,송파구 문정동 파크하비오 (오피스텔)
2025-12-31,46078,송파구 문정동 파크하비오 (오피스텔)
2025-01-01,159725,강동구 상일동 고덕아르테온 (아파트)
2025-01-31,141371,강동구 상일동 고덕아르테온 (아파트)
2025-02-28,138538,강동구 상일동 고덕아르테온 (아파트)
2025-03-31,166146,강동구 상일동 고덕아르테온 (아파트)
2025-04-30,149411,강동구 상일동 고덕아르테온 (아파트)
2025-05-31,142477,강동구 상일동 고덕아르테온 (아파트)
2025-06-30,149199,강동구 상일동 고덕아르테온 (아파트)
2025-07-31,160350,강동구 상일동 고덕아르테온 (아파트)
2025-08-31,145887,강동구 상일동 고덕아르테온 (아파트)
2025-09-30,143190,강동구 상일동 고덕아르테온 (아파트)
2025-10-31,157871,강동구 상일동 고덕아르테온 (아파트)
2025-11-30,142248,강동구 상일동 고덕아르테온 (아파트)
2025-12-31,144691,강동구 상일동 고덕아르테온 (아파트)
2025-01-01,207389,송파구 문정동 올림픽훼밀리타운 (아파트)
2025-01-31,200616,송파구 문정동 올림픽훼밀리타운 (아파트)
2025-02-28,196206,송파구 문정동 올림픽훼밀리타운 (아파트)
2025-03-31,215926,송파구 문정동 올림픽훼밀리타운 (아파트)
2025-04-30,175013,송파구 문정동 올림픽훼밀리타운 (아파트)
2025-05-31,215214,송파구 문정동 올림픽훼밀리타운 (아파트)
2025-06-30,207978,송파구 문정동 올림픽훼밀리타운 (아파트)
2025-07-31,240677,송파구 문정동 올림픽훼밀리타운 (아파트)
2025-08-31,178508,송파구 문정동 올림픽훼밀리타운 (아파트)
2025-09-30,224989,송파구 문정동 올림픽훼밀리타운 (아파트)
2025-10-31,178548,송파구 문정동 올림픽훼밀리타운 (아파트)
2025-11-30,172187,송파구 문정동 올림픽훼밀리타운 (아파트)
2025-12-31,190237,송파구 문정동 올림픽훼밀리타운 (아파트)
2025-01-31,219003,송파구 잠실동 잠실엘스 (아파트)
2025-02-28,293249,송파구 잠실동 잠실엘스 (아파트)
2025-03-31,300049,송파구 잠실동 잠실엘스 (아파트)
2025-04-30,260662,송파구 잠실동 잠실엘스 (아파트)
2025-05-31,295032,송파구 잠실동 잠실엘스 (아파트)
2025-06-30,270167,송파구 잠실동 잠실엘스 (아파트)
2025-07-31,276230,송파구 잠실동 잠실엘스 (아파트)
2025-08-31,295055,송파구 잠실동 잠실엘스 (아파트)
2025-09-30,282634,송파구 잠실동 잠실엘스 (아파트)
2025-10-31,296552,송파구 잠실동 잠실엘스 (아파트)
2025-11-30,290357,송파구 잠실동 잠실엘스 (아파트)
2025-01-01,16999,강서구 마곡동 힐스테이트에코 마곡나루역 라마다앙코르 서울마곡 (오피스텔)
2025-01-31,18240,강서구 마곡동 힐스테이트에코 마곡나루역 라마다앙코르 서울마곡 (오피스텔)
2025-02-28,-8841,강서구 마곡동 힐스테이트에코 마곡나루역 라마다앙코르 서울마곡 (오피스텔)
2025-03-31,34690,강서구 마곡동 힐스테이트에코 마곡나루역 라마다앙코르 서울마곡 (오피스텔)
2025-04-30,29871,강서구 마곡동 힐스테이트에코 마곡나루역 라마다앙코르 서울마곡 (오피스텔)
2025-05-31,15706,강서구 마곡동 힐스테이트에코 마곡나루역 라마다앙코르 서울마곡 (오피스텔)
2025-06-30,20059,강서구 마곡동 힐스테이트에코 마곡나루역 라마다앙코르 서울마곡 (오피스텔)
2025-07-31,30161,강서구 마곡동 힐스테이트에코 마곡나루역 라마다앙코르 서울마곡 (오피스텔)
2025-08-31,14955,강서구 마곡동 힐스테이트에코 마곡나루역 라마다앙코르 서울마곡 (오피스텔)
2025-09-30,-41435,강서구 마곡동 힐스테이트에코 마곡나루역 라마다앙코르 서울마곡 (오피스텔)
2025-10-31,52059,강서구 마곡동 힐스테이트에코 마곡나루역 라마다앙코르 서울마곡 (오피스텔)
2025-11-30,32394,강서구 마곡동 힐스테이트에코 마곡나루역 라마다앙코르 서울마곡 (오피스텔)
2025-12-31,20192,강서구 마곡동 힐스테이트에코 마곡나루역 라마다앙코르 서울마곡 (오피스텔)
2025-01-31,114694,강동구 암사동 롯데캐슬퍼스트 (아파트)
2025-02-28,144190,강동구 암사동 롯데캐슬퍼스트 (아파트)
2025-03-31,139997,강동구 암사동 롯데캐슬퍼스트 (아파트)
2025-04-30,136797,강동구 암사동 롯데캐슬퍼스트 (아파트)
2025-05-31,145446,강동구 암사동 롯데캐슬퍼스트 (아파트)
2025-06-30,173910,강동구 암사동 롯데캐슬퍼스트 (아파트)
2025-07-31,127410,강동구 암사동 롯데캐슬퍼스트 (아파트)
2025-08-31,149096,강동구 암사동 롯데캐슬퍼스트 (아파트)
