sttn_no,sttn_name,longitude,latitude
01001,종로2가사거리,126.987752,37.569808
01002,창경궁 서울대학교병원,126.996522,37.579433
01003,명륜3가 성대입구,126.998251,37.582581
01004,종로2가 삼일교,126.9876130976,37.5685792736
01005,혜화동로터리 여운형활동터,127.001744,37.586243
01006,서대문역사거리,126.966893,37.566137
01007,서울역사박물관 경희궁앞,126.97038,37.569135
01008,서울역사박물관 경희궁앞,126.97076,37.569515
01009,광화문,126.976357,37.570142
01010,광화문,126.9778894864,37.570267935
01011,종로1가,126.9810660928,37.5701482455
01012,종로1가,126.98163,37.570271
01013,종로2가,126.984991,37.57017
01014,종로2가,126.986536,37.570238
01015,종로3가 탑골공원,126.9892689914,37.5702567706
01016,종로3가 탑골공원,126.9899877751,37.5703605443
01017,종로4가 종묘,126.9947218896,37.5705069968
01018,종로4가 종묘,126.995396,37.570637
01019,종로5가 광장시장,126.999061,37.570787
01020,종로5가 광장시장,126.999606,37.570931
01021,종로6가 동대문종합시장,127.004464,37.57101
01022,종로6가 동대문종합시장,127.0057137364,37.5711272339
01023,동대문역 흥인지문,127.013813,37.572449
01037,동대문(흥인지문),127.012453,37.572102
01041,동묘앞,127.018589326,37.5738521758
01044,동묘앞,127.0195285734,37.574281529
01101,경기상고,126.9693634554,37.5875502159
01102,신교동,126.9702626865,37.5832955233
01103,경기상고,126.9697701102,37.5871907861
01104,경복고교,126.970884,37.58516
01105,청운중학교,126.972673,37.587809
01106,자하문고개 윤동주문학관,126.9671261805,37.5921866176
01107,자하문고개 윤동주문학관,126.9671906625,37.5923353152
01108,청운중학교,126.972266,37.588421
01109,경복고교,126.971404,37.585067
01110,통인시장종로구보건소,126.9710500404,37.5803257033
01111,통인시장종로구보건소,126.9713851083,37.5805132118
01112,효자동,126.9706209712,37.583091043
01113,사직단 어린이도서관,126.9679907155,37.5751355316
01114,경복궁역1번출구,126.971415,37.576162
01115,경복궁역,126.972198,37.577038
01116,경복궁역,126.9722828893,37.5776713863
01117,경복궁,126.9787471496,37.5755767894
01118,KT광화문지사,126.9774187393,37.572209741
01119,국립고궁박물관,126.973979,37.578928
01120,광화문,126.976408,37.570045
01123,서울역사박물관 경교장 강북삼성병원,126.971248,37.570023
01124,광화문 금호아시아나본관앞,126.972839,37.570332
01125,광화문,126.975837,37.570365
01126,세종문화회관,126.976997,37.573648
01127,서울경찰청 경복궁역,126.9714842989,37.5757446636
01128,사직단,126.968188961,37.5748553458
01129,광화문 광화문빌딩,126.976545,37.569495
01130,덕성여중고,126.981972,37.575768
01131,안국역 서울공예박물관,126.9839957858,37.5760695565
01132,국민은행세검정지점,126.9608880061,37.6046629766
01133,세검정초등학교,126.9612198463,37.6025022799
01134,세검정 상명대,126.958292,37.600477
01135,상명대입구 석파랑,126.958570225,37.5994133537
01136,하림각,126.9617068235,37.5981330665
01137,자하문터널입구 석파정,126.9636434993,37.5955935123
01138,부암동주민센터 무계원,126.96422,37.592766
01139,부암동주민센터 무계원,126.9651419211,37.5927861733
01140,자하문터널입구 석파정,126.9639775924,37.5955575712
01141,하림각,126.962215308,37.5981476478
01142,상명대입구 세검정교회,126.9592405649,37.5996163318
01143,세검정 상명대,126.959155,37.600648
01144,세검정초등학교,126.9614328894,37.6022680671
01146,국민은행세검정지점,126.961195,37.604846
01148,승가사입구,126.9563059978,37.6115844138
01149,구기동현대빌라,126.9564575503,37.6100355035
01150,구기터널 삼성출판박물관,126.9562103294,37.6086098941
01151,구기터널 삼성출판박물관,126.9564166508,37.6083054034
01152,구기동,126.9585297928,37.6069644475
01153,구기동,126.9591017479,37.6070088003
01154,승가사입구,126.956482,37.61148
01155,갑을씨티텔앞,126.9635350292,37.6043709709
01156,평창파출소,126.9660432906,37.6053223656
01157,평창동주민센터,126.9695663093,37.6066073749
01158,일성아파트,126.972925,37.608873
01159,롯데아파트,126.976317,37.61039
01160,롯데아파트,126.976652,37.610248
01161,벽산평창힐스아파트,126.972797,37.60819
01162,예능교회,126.97,37.606517
01163,서울예술고등학교 평창동주민센터,126.9676276108,37.6057787606
01164,화정박물관,126.9648102665,37.6045038178
01165,강북삼성병원,126.9686004828,37.568145927
01167,독립문역 서대문형무소역사관,126.959322,37.573395
01168,서대문 서울시교육청,126.9645273358,37.5682538056
01169,서대문역사거리 적십자병원,126.9675878497,37.5671081521
01171,독립문,126.96143,37.571342
01172,창덕궁 서울돈화문국악당,126.9885394479,37.5775405746
01173,서린동 SK서린빌딩,126.980095,37.569263
01174,청계1가 광교,126.9849267193,37.568684389
01175,청계2가 수표교,126.99082,37.568442
01176,청계4가 세운교,126.996555,37.568927
01177,청계5가 광장시장,126.9997973605,37.5694512793
01198,원남동,126.9973383362,37.5745325055
01199,창덕궁 우리소리박물관,126.988954,37.577272
01200,안국역 인사동,126.984133,37.575798
01201,조계사 종로경찰서,126.9831555803,37.5725223095
01202,조계사 종로경찰서,126.9828258888,37.5724858087
01203,안국동,126.9827201116,37.5746105669
01204,종로5가 효제동 김상옥의거터,127.00223,37.5745
01205,종로5가 효제초등학교,127.0021442279,37.5728790133
01209,창덕궁 돈화문국악당,126.991233,37.577431
01212,종로5가,127.0021826522,37.5705596025
01213,청계6가 동대문시장,127.0028494203,37.5698351103
01214,동대문,127.0084126252,37.5717262368
01215,충신동,127.006278812,37.5740223509
01217,충신동,127.0063433807,37.5744602778
01218,현대그룹빌딩,127.000807,37.575912
01219,방송통신대 이화장,127.002437,37.578043
01220,혜화역 마로니에공원,127.0022769364,37.5811194873
01221,혜화역 서울대병원입구,127.00185,37.580957
01222,방송통신대 이화장,127.001977,37.577788
01223,이화동(이화장),127.0006951494,37.576119355
01224,창경궁 서울대학교병원,126.9968717143,37.5788279947
01225,이화동(이화장),127.0032708172,37.5759372914
01226,혜화동로터리,127.000687,37.58558
01227,명륜동2가 성균관대입구,126.9993987623,37.5833334862
01228,혜화역 서울연극센터(장면총리가옥),127.0013281701,37.584022814
01229,혜화역 동성중고(장면총리가옥),127.0017176887,37.5845697705
01231,종로구민회관 창신동두산아파트,127.0155555279,37.5740926792
01235,동묘역앞,127.0156014431,37.5716849566
01236,동묘역앞,127.0159450485,37.5719221488
01237,청계2가교차로,126.9878778705,37.5684809008
01238,창신3동주민센터,127.015178,37.578413
01239,숭인1동주민센터 창신역4번출구,127.015462,37.578625
01240,동묘역 롯데캐슬천지인,127.0158023517,37.5741800523
01243,신설동로터리,127.022841,37.575695
01245,동묘앞,127.017524,37.573643
01246,구기동현대빌라,126.956622,37.609682
01247,광장시장,126.9977437946,37.569470801
01249,혜화경찰서,126.9974787875,37.5725807445
01250,서울역사박물관 김구집무실(경교장),126.9721318077,37.5699003386
01251,청계3가 관수교,126.9937793705,37.5686887917
01252,청계6가 버들다리,127.0080377075,37.5699303868
01253,청계7가 맑은내다리,127.013093,37.57004
01254,청계8가 영도교,127.018128,37.570895
01256,원남동사거리,126.998113,37.575761
01262,숭인동,127.0204373408,37.5742721533
01267,조계사,126.9831609226,37.572800338
01272,세종문화회관,126.977009,37.573222
01277,이화동(이화장),127.002955,37.576257
01278,상명대정문,126.9550207178,37.6016197182
01279,이북오도청,126.955973,37.612723
01280,경복궁역(효자로입구),126.974305,37.576715
01286,상명대입구 세검정교회,126.9597921957,37.5994435122
01287,상명대입구 석파랑,126.9581941404,37.5995718125
01288,종로중부새마을금고,127.0065911394,37.5724174899
01289,신설동로터리 신한은행앞 서울풍물시장,127.023192,37.574258
01291,청계2가 삼일교,126.986988,37.568344
01292,청계8가 황학교,127.0227870051,37.5721307298
01293,평창동삼성아파트,126.978799,37.611179
01294,안국역 인사동,126.9855365486,37.5763329308
01295,안국역 서울공예박물관,126.984888,37.576413
01296,창덕궁,126.9890031166,37.5772280879
01297,남인사마당,126.9874286375,37.5713191723
01500,평창파출소,126.9668167021,37.605681218
01501,삼청공원,126.9816468946,37.5882276807
01502,수성동계곡,126.964469,37.582082
01503,명륜3가종점,126.9928636796,37.5909483783
01504,명륜새마을금고,126.996798,37.587785
01505,서대문3번출구,126.966397,37.566336
01506,낙산공원,127.0087215681,37.5804037213
01507,인사미술공간 세탁소,126.9893670844,37.5814109836
01508,화정박물관,126.9648837454,37.6048011982
01509,금융연수원,126.981657,37.586641
01510,박노수미술관,126.966603478,37.5809967425
01511,샘미용실,126.9932227051,37.5903095275
01512,서울국제고등학교,126.9972902593,37.5890715947
01513,화정박물관,126.9652007897,37.6049806084
01514,적십자병원후문앞,126.9652272769,37.5675295356
01515,서울성곽 성대후문,126.9896320737,37.5892576959
01516,빨래터 고희동미술관,126.989067,37.58299
01517,세검초등학교,126.9614907597,37.6042522792
01518,삼청동주민센터,126.9819071619,37.5842638281
01519,통인시장,126.968753,37.580468
01520,양현관,126.9936043615,37.5897914226
01521,국민생활관,126.9988619666,37.5897456349
01522,오거리,126.9622629001,37.6070621164
01523,경희궁자이2 3단지,126.9640686009,37.5687871134
01524,창신쌍용2단지 한성대후문,127.0127581151,37.5812647965
01525,통일부,126.9859476734,37.5875948053
01526,원서고개,126.9878088426,37.583080553
01528,종로5가입구 혜화경찰서,126.997681,37.571797
01529,삼청파출소,126.9812510491,37.581813662
01530,오거리 한옥마을입구,126.969561,37.579537
01531,명륜시장 성대후문,126.9952543092,37.5885110529
01532,혜화초등학교,126.9998516643,37.5872532276
01533,청련사입구,126.9624312007,37.6079803769
01534,영천시장,126.962735,37.570084
01535,명신초 삼선푸르지오 힐스테이트,127.014556281,37.5821062067
01536,감사원,126.9852900569,37.5862106518
01537,중앙중고,126.986965299,37.583092177
01538,인왕빌딩,126.9577443332,37.6079283311
01539,종로4가 종묘공원,126.994624,37.570689
01540,국립민속박물관,126.9795533717,37.5792551846
01541,광화문새마을금고,126.9711466491,37.5793687689
01542,새마을금고,126.996518051,37.5877370613
01543,혜화우체국,127.0006137149,37.5860376565
01544,언덕앞,126.9637921715,37.6089539753
01545,경희궁자이4단지,126.961358,37.57136
01546,종로센트레빌후문 e편한세상보문아파트,127.0161855253,37.5817743934
01547,사우디대사관앞 경남빌라,126.9850311776,37.5841056738
01548,안국선원 삼거리,126.984994076,37.5827909789
01549,구기터널입구,126.9567768927,37.6082046142
01550,종로3가 1 3 5호선,126.991965,37.57158
01551,경복궁,126.9793377561,37.576950157
01553,소나무집,126.964110466,37.6112770717
01554,독립문역3번출구,126.9597453483,37.5728784775
01555,청룡사 보문파크뷰자이아파트,127.01700714,37.5800189539
01556,북촌한옥마을입구 정세권활동터,126.9849422317,37.5815997311
01557,종로1 2 3 4가동주민센터,126.9911314256,37.5743837122
01558,창덕궁,126.990385,37.57676
01561,아름다운실버,126.965463701,37.6120100581
01562,독립문초등학교,126.9607207234,37.5738474794
01563,종로센트레빌아파트,127.0156926979,37.5803534405
01564,가회동주민센터,126.984957,37.579973
01565,구기빌라,126.9579797248,37.6062686142
01566,원남로터리,126.997511497,37.5762373738
01567,보현산신각,126.9657790521,37.6134825236
01568,천사유치원,126.9618603707,37.5746480221
01569,쌍용아파트입구 창신역,127.0149635738,37.580511226
01570,아름다운가게 정독도서관,126.985123,37.57895
01571,산정빌라,126.9574922002,37.6051519935
01572,이화사거리,127.002101,37.576513
01573,박종화고택입구,126.9676873462,37.6143102577
01574,무악현대아파트후문,126.962001046,37.5763060751
01576,헌법재판소 안국역,126.985816,37.577387
01577,청구빌라,126.9569839726,37.6046102563
01578,서울대어린이병원응급실 갑상선센터,126.99984,37.578686
01580,화인빌라,126.9685386165,37.6129345305
01581,넓은마당,126.9628880463,37.5752728058
01582,창신초등학교,127.0153885503,37.5769032044
