address,note,map,name,phone,emergency_phone,longitude,latitude
서울특별시 영등포구 63로 10,휴게시간 13:00~14:00,샛강역 3번 출구,가톨릭대학교 여의도성모병원,02-1661-7575,02-3779-1188,126.93673129599132,37.51827233800711
서울특별시 은평구 통일로 1021,휴게시간 13:00~14:00,샛강역 3번 출구,가톨릭대학교은평성모병원,02-1811-7755,02-1811-7755,126.91615048739686,37.63360840972685
서울특별시 관악구 관악로 242,응급실진료 07:00-24:00 08/15 광복절 휴무,서울대입구역 7번 출구 도보 5분,강남고려병원,1661-8267,02-874-7227,126.956781703053,37.4856188363947
서울특별시 강남구 선릉로 404,응급실 00:00-24:00,한티역 1번출구 3분거리,강남더드림병원,02-1661-1177,070-4676-5002,127.050967336445,37.5009902618151
서울특별시 강남구 남부순환로 2649,외래 진료 운영시간 이외에는 응급의학과 전문의 근무,양재역 4번 출구 도보 5분 거리,강남베드로병원,1544-7522,1544-7522,127.0395873429168,37.48561217992573
서울특별시 관악구 남부순환로 1449,"24시간 응급실 운영 내과/검진센터 2, 4주 토요일 휴진",2호선 신대방역/난곡사거리 인근,강남힐병원,02-853-4600,02-853-9100,126.911648078471,37.4816513439454
서울특별시 강동구 동남로 892,점심시간 13:00~14:00,고덕역 4번 출구,강동경희대학교의대병원,02-440-7114,02-440-7000,127.157084787845,37.5520459324005
서울특별시 종로구 새문안로 29,휴게시간 13:00~14:00,서대문역 4번 출구,강북삼성병원,02-2001-2001,02-2001-1000,126.96793805451702,37.56849763123383
서울특별시 강북구 도봉로 187,점심시간 오후1시~2시 365일 24시간 응급실 운영,답십리 사거리와 전농동 사거리 사이,강북으뜸병원,02-986-0334,02-986-0334,127.026184524499,37.6254205559935
서울특별시 강서구 가로공원로 187,"응급의료기관 외의 의료기관(응급의료시설)  응급실 운영 - 골절, 외상, 척추, 관절 질환 24시간 365일 응급 진료 및 수술","화곡역 6번 출구, 가로공원 사거리",강서케이병원,02-1833-7530,02-6905-8585,126.836699017573,37.5373576230977
서울특별시 광진구 능동로 120-1,점심시간:13~14시,"건대입구역 3,4번 출구",건국대학교병원,1588-1533,02-2030-5555,127.0721229093036,37.54084479467721
서울특별시 송파구 송이로 123,응급의료센터 - 24시간 진료,"경찰병원역 1,2번 출구",경찰병원,02-3400-1114,02-3400-1300,127.123487935032,37.49641321356079
서울특별시 동대문구 경희대로 23,"10/1 (화) 임시공휴일, 10/3 (목) 개천절 : 09:30-13:00",영등포역 4번출구 파리바게트 건물,경희대학교병원,02-958-8114,02-958-8114,127.05183223390304,37.5938765502235
서울특별시 구로구 구로동로 148,점심시간 13:00~14:00,구로구청 인근,고려대학교의과대학부속구로병원,02-2626-1114,02-2626-1550,126.8847449363546,37.49211114525054
서울특별시 구로구 경인로 427,점심시간 13:00~14:00,구일역 2번 출구 고척 스카이 돔구장 맞은편,구로성심병원,02-2067-1500,02-2067-1515,126.86636039556484,37.49964578669388
서울특별시 중구 을지로 245,접수시간 : 평일 08:30~17:00 / 토요일 08:30~12:00 진료시간 : 평일 09:00~17:00,동대문역사문화공원역 13번출구 도보5분,국립중앙의료원,02-2260-7114,02-2276-2114,127.00579539705473,37.56733955813183
서울특별시 노원구 한글비석로 68,평일 13:00-14:00 휴게시간,하계역 3번 출구,노원을지대학교병원,02-970-8000,02-970-8282,127.07000281991384,37.636442927386746
서울특별시 중랑구 사가정로49길 53,없음,사가정역 1번 출구/까치어린이공원 옆,녹색병원,02-490-2000,02-490-2113,127.08605546969356,37.58362083896108
서울특별시 영등포구 시흥대로 657,평일 점심시간 13:00~14:00,구로디지털단지역 6번 출구 도보 10분,대림성모병원,02-829-9000,02-829-9129,126.90716948025135,37.49068925436284
서울특별시 영등포구 도림로 156,점심시간 없이 진료,대림역 11번 출구,명지성모병원,02-1899-1475,02-829-7800,126.89925446922592,37.4938507104387
서울특별시 강서구 강서로 295,응급분만 02-2007-1021,압구정로데오역 2번 출구와 청담역 9번 출구 사이/청담사거리 인근,미즈메디병원,02-2007-1111,02-2007-1118,126.83602535156236,37.55225379358291
서울특별시 강서구 공항대로 389,점심시간 12:30~14:00,제기동역 2번 출구,부민병원,1577-7582,02-2620-0119,126.8509495053918,37.55694089289359
서울특별시 관악구 남부순환로 1860,평일야간/일요일/공휴일 - 응급실 진료 가능,2호선 서울대입구역 1번출구 200m,사랑의병원,02-880-0114,02-880-0119,126.956285774259,37.4796247835746
서울특별시 강남구 일원로 81,"휴게시간 13:00-14:00(목,토요일 제외) 접수마감 월,화,금 17:50/ 수 19:50/ 목,토 12:50 진료 마감 10분 전까지 내원 시 접수 가능합니다.",일원역 1번 출구,삼성서울병원,02-3410-2114,02-3410-2060,127.08668245340024,37.48851613490445
서울특별시 동대문구 망우로 82,휴게시간 12:30-13:30,회기역 2번 출구,삼육서울병원,02-2244-0191,02-2210-3566,127.0653288266823,37.5879920013054
서울특별시 종로구 대학로 101,정기휴무(매주 일요일),혜화역 3번 출구,서울대학교병원,02-1588-5700,02-2072-2475,126.99896308412193,37.57966608924356
서울특별시 종로구 대학로 101,토요일-격주 근무 검진만 가능한 의원,4호선 혜화역 3번 출구,서울대학교치과병원,1522-2700,02-6256-3362,126.997196437908,37.5804523853297
서울특별시 동대문구 왕산로 259,점심시간 13-14시(평일),청량리역 3번 출구,서울성심병원,02-966-1616,02-966-1616,127.04983805981972,37.58419129209865
서울특별시 종로구 새문안로 9,휴게시간 13:00-14:00(토요일 제외) 정기휴무(매주 일요일),서대문 사거리 지하철 5호선 서대문역 4번 출구 10미터,서울적십자병원,02-2002-8000,02-2002-8888,126.96699861289684,37.56715536263689
서울특별시 동대문구 무학로 124,점심시간 13:00~14:00,제기동역 6번 출구,서울특별시 동부병원,02-920-9307,02-920-9119,127.03140257525509,37.57539886464885
