sttn_line,sttn_name,longitude,latitude
1호선,서울역,126.972533,37.55315
1호선,시청역,126.975407,37.56359
1호선,종각역,126.983116,37.570203
1호선,종로3가역,126.992095,37.570429
1호선,종로5가역,127.0019,37.570971
1호선,동대문역,127.011383,37.57179
1호선,동묘앞역,127.016459,37.573265
1호선,신설동역,127.02471,37.576117
1호선,제기동역,127.034902,37.578116
1호선,청량리역,127.045063,37.580148
2호선,을지로입구역,126.982569,37.565998
2호선,을지로3가역,126.991773,37.566292
2호선,을지로4가역,126.998122,37.566611
2호선,동대문역사문화공원역,127.009113,37.565597
2호선,신당역,127.019488,37.565681
2호선,상왕십리역,127.028872,37.564504
2호선,왕십리역,127.035505,37.561159
2호선,한양대역,127.043504,37.55658
2호선,뚝섬역,127.047413,37.54718
2호선,성수역,127.055983,37.544628
2호선,건대입구역,127.069231,37.540408
2호선,구의역,127.085024,37.536857
2호선,강변역,127.094684,37.535161
2호선,잠실나루역,127.103836,37.520688
2호선,잠실역,127.100129,37.513305
2호선,잠실새내역,127.103738,37.520731
2호선,종합운동장역,127.073641,37.511008
2호선,삼성역,127.063203,37.508827
2호선,선릉역,127.048174,37.504257
2호선,역삼역,127.03643,37.500658
2호선,강남역,127.027539,37.497958
2호선,교대역,127.014631,37.493957
2호선,서초역,127.007945,37.49191
2호선,방배역,126.997627,37.481469
2호선,사당역,126.981631,37.476536
2호선,낙성대역,126.963783,37.47693
2호선,서울대입구역,126.952745,37.481233
2호선,봉천역,126.941896,37.482416
2호선,신림역,126.929573,37.484216
2호선,신대방역,126.913279,37.487534
2호선,구로디지털단지역,126.902626,37.485005
2호선,대림역,126.895293,37.492426
2호선,신도림역,126.891222,37.508815
2호선,문래역,126.894766,37.517993
2호선,영등포구청역,126.896627,37.525766
2호선,당산역,126.902011,37.533877
2호선,합정역,126.914557,37.550025
2호선,홍대입구역,126.923643,37.556748
2호선,신촌역,126.93689,37.555153
2호선,이대역,126.945897,37.556734
2호선,아현역,126.956079,37.557407
2호선,충정로역,126.964455,37.559742
2호선,시청역,126.975271,37.563534
2호선,신설동역,127.025158,37.574653
2호선,용두역,127.03811,37.574012
2호선,신답역,127.056348,37.56147
2호선,용답역,126.977863,37.566412
2호선,도림천역,126.882586,37.514759
2호선,양천구청역,126.865193,37.512194
2호선,신정네거리역,126.852849,37.520218
2호선,까치산역,126.846706,37.53181
3호선,지축역,126.912551,37.648281
3호선,구파발역,126.918827,37.636612
3호선,연신내역,126.920859,37.618855
3호선,불광역,126.929843,37.610554
3호선,녹번역,126.935758,37.600882
3호선,홍제역,126.944092,37.588851
3호선,무악재역,126.950131,37.582658
3호선,독립문역,126.957902,37.574534
3호선,경복궁역,126.973576,37.575844
3호선,안국역,126.98547,37.576562
3호선,종로3가역,126.991237,37.571537
3호선,을지로3가역,126.992616,37.566299
3호선,충무로역,126.995473,37.561302
3호선,동대입구역,127.005273,37.55816
3호선,약수역,127.010628,37.554674
3호선,금호역,127.015785,37.548269
3호선,옥수역,127.017303,37.541653
3호선,압구정역,127.028502,37.526169
3호선,신사역,127.020247,37.516438
3호선,잠원역,127.011613,37.512989
3호선,고속터미널역,127.004916,37.504953
3호선,교대역,127.013796,37.49306
3호선,남부터미널역,127.016289,37.48494
3호선,양재역,127.03513,37.48466
3호선,매봉역,127.046907,37.487114
3호선,도곡역,127.055694,37.491129
3호선,대치역,127.063449,37.494601
3호선,학여울역,127.070541,37.496757
3호선,대청역,127.079526,37.493607
3호선,일원역,127.08416,37.48389
3호선,수서역,127.101324,37.487507
3호선,가락시장역,127.118101,37.492368
3호선,경찰병원역,127.124198,37.495754
3호선,오금역,127.128344,37.502288
4호선,당고개역,127.078404,37.66956
4호선,상계역,127.073199,37.660576
4호선,노원역,127.063183,37.656274
4호선,창동역,127.046746,37.652993
4호선,쌍문역,127.034381,37.648274
4호선,수유역,127.024731,37.637127
4호선,미아역,127.026151,37.626435
4호선,미아사거리역,127.030083,37.613276
4호선,길음역,127.025353,37.604087
4호선,성신여대입구역,127.017338,37.592782
4호선,한성대입구역,127.006751,37.58838
4호선,혜화역,127.001759,37.582116
4호선,동대문역,127.009403,37.5708397
4호선,동대문역사문화공원역,127.007645,37.565083
4호선,충무로역,126.995473,37.561302
4호선,명동역,126.988271,37.561055
4호선,회현역,126.979565,37.559698
4호선,서울역,126.972836,37.553172
4호선,숙대입구역,126.971952,37.545124
4호선,삼각지역,126.973354,37.535057
4호선,신용산역,126.96858,37.52919
