주차장코드,주차장명,주소,주차장 종류,주차장 종류명,운영구분,운영구분명,전화번호,주차현황 정보 제공여부,주차현황 정보 제공여부명,총 주차면,현재 주차 차량수,현재 주차 차량수 업데이트시간,유무료구분,유무료구분명,야간무료개방여부,야간무료개방여부명,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),주말 운영 시작시각(HHMM),주말 운영 종료시각(HHMM),공휴일 운영 시작시각(HHMM),공휴일 운영 종료시각(HHMM),"토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명",월 정기권 금액,노상 주차장 관리그룹번호,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),버스 기본 주차 요금,버스 기본 주차 시간(분 단위),버스 추가 단위 요금,버스 추가 단위 시간(분 단위),일 최대 요금,주차장 위치 좌표 위도,주차장 위치 좌표 경도,공유 주차장 관리업체명,공유 주차장 여부,공유 주차장 관리업체 링크,공유 주차장 기타사항
171721,세종로 공영주차장(시),종로구 세종로 80-1,NW,노외 주차장,1,시간제 주차장,02-2290-6566,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1260,655,2025.1.21 11:11,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,176000,,430,5,430,5,0,0,0,0,30900,37.57340269,126.9758843,,N,,
171730,종묘주차장 공영주차장(시),종로구 훈정동 2-0,NW,노외 주차장,1,시간제 주차장,02-2290-6166,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1317,960,2025.1.21 11:11,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,175000,,400,5,400,5,0,0,0,0,28800,37.57150398,126.9949689,,N,,
171900,훈련원공원 공영주차장(시),중구 을지로5가 40-3,NW,노외 주차장,1,시간제 주차장,02-3405-4597,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),873,641,2025.1.21 11:11,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,176000,,550,5,550,5,0,0,0,0,39600,37.56740014,127.0035206,,N,,
172051,한강진역 공영주차장(시),용산구 한남동 728-27,NW,노외 주차장,1,시간제 주차장,02-795-6406,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),174,105,2025.1.21 11:11,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,168000,,400,5,400,5,0,0,0,0,28800,37.53952176,127.0025796,,N,,
172065,용산주차빌딩 공영주차장(시),용산구 한강로2가 12-9,NW,노외 주차장,1,시간제 주차장,02-2290-6014,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),561,305,2025.1.21 11:11,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,168000,,300,5,300,5,0,0,0,0,21600,37.53436379,126.9654182,,N,,
172382,봉화산역(남) 공영주차장(시),중랑구 신내동 647-0,NW,노외 주차장,1,시간제 주차장,,0,미연계중,85,0,,Y,유료,N,야간 미개방,0900,2200,0900,2200,0900,2200,N,무료,N,무료,42000,,80,5,80,5,0,0,0,0,5700,37.61642995,127.0919719,,N,,
172605,우이동 공영주차장(시),강북구 우이동 105-2,NW,노외 주차장,1,시간제 주차장,02-944-3044,0,미연계중,82,0,2024.12.22 21:29,N,무료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,,,,,,,0,0,0,0,80000,37.65671789,127.011637,,N,,
172844,마포유수지(시),마포구 마포동 36-1,NW,노외 주차장,5,시간제 + 버스전용 주차장,02-2290-6093,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),503,395,2025.1.21 11:11,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,162000,,220,5,220,5,,,,,15800,37.53890027,126.9426686,,N,,
172935,웃우물 공영주차장(시),양천구 신정동 943-25,NW,노외 주차장,1,시간제 주차장,02-2290-6311,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),79,61,2025.1.21 11:11,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,140000,,220,5,220,5,0,0,0,0,15800,37.52379759,126.8514175,,N,,
172937,목동체비지 공영주차장(시),양천구 목동 908-26,NW,노외 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),55,82,2025.1.21 11:11,Y,유료,N,야간 미개방,0800,2100,0800,2100,0800,2100,N,무료,N,무료,90000,,130,5,130,5,0,0,0,0,9300,37.53679354,126.8806468,,N,,
